COUNTRY,SEX,YEAR,ACTIVITY_VAL,AGE,OBESITY_VAL
TUR,MALE,2009,22.7,13,17.7083333333333
TUR,FEMALE,2009,12.2,13,10.310421286031
TUR,MALE,2005,22.0,13,13.0
TUR,FEMALE,2005,17.0,13,7.0
UKR,MALE,2009,28.7,13,12.8361858190709
UKR,FEMALE,2009,16.6,13,6.71140939597315
UKR,MALE,2005,27.0,13,9.0
UKR,FEMALE,2005,16.0,13,5.0
GB-ENG,MALE,2009,27.3,13,9.0249566801755
GB-ENG,FEMALE,2009,14.7,13,13.6069877293936
GB-ENG,MALE,2005,32.0,13,14.0
GB-ENG,FEMALE,2005,14.0,13,14.0
GB-SCT,MALE,2009,18.6,13,16.1529299728319
GB-SCT,FEMALE,2009,10.0,13,6.09756097560976
GB-SCT,MALE,2005,23.0,13,16.0
GB-SCT,FEMALE,2005,15.0,13,15.0
GB-WLS,MALE,2009,23.1,13,18.7007874015748
GB-WLS,FEMALE,2009,12.8,13,13.9024390243902
GB-WLS,MALE,2005,28.0,13,18.0
GB-WLS,FEMALE,2005,12.0,13,17.0
ARM,MALE,2009,28.6,15,13.6094674556213
ARM,FEMALE,2009,13.9,15,5.02392344497608
AUT,MALE,2009,19.8,15,19.4376528117359
AUT,FEMALE,2009,8.5,15,10.5446118192352
AUT,MALE,2005,13.0,15,19.0
AUT,FEMALE,2005,10.0,15,9.0
BE-VLG,MALE,2009,17.1,15,13.7007874015748
BE-VLG,FEMALE,2009,9.5,15,9.43025540275049
BE-VLG,MALE,2005,17.0,15,11.0
BE-VLG,FEMALE,2005,11.0,15,8.0
BE-WAL,MALE,2009,15.2,15,15.1574803149606
BE-WAL,FEMALE,2009,9.0,15,8.31683168316832
BE-WAL,MALE,2005,24.0,15,15.0
BE-WAL,FEMALE,2005,21.0,15,12.0
BGR,MALE,2005,24.0,15,18.0
BGR,FEMALE,2005,16.0,15,6.0
HRV,MALE,2009,22.3,15,22.896790980052
HRV,FEMALE,2009,8.3,15,9.91525423728814
